costLS,Areaoftypicalfloor,UseOfBuilding,NoFloors,FootingType,SlabType,NoElevator,ExFinishing,Airconditioning,Tillingtype,Electricaltype,Mechanicaltype
9280,1,2,1,1,1,0,1,1,1,1,1
13500,1,2,1,1,1,0,2,2,1,1,1
15600,1,2,1,1,1,0,3,2,1,1,1
15000,1,2,1,1,1,0,2,1,2,2,2
10000,1,2,1,1,2,0,1,1,1,1,1
10000,1,2,1,1,3,0,1,1,1,1,1
10500,1,2,1,1,1,0,2,1,1,1,1
12500,1,2,1,1,2,0,2,1,1,1,1
14500,1,2,1,1,3,0,2,1,1,1,1
14500,1,2,1,1,3,0,3,1,1,1,1
16450,1,2,1,1,3,0,3,1,1,1,1
17800,1,2,1,1,3,0,3,1,1,1,1
8000,1,2,1,1,1,0,1,1,1,1,1
7200,1,2,1,1,1,0,1,1,1,1,1
8300,1,2,1,1,1,0,1,1,1,1,1
14000,2,2,1,1,1,0,1,1,1,1,1
15200,2,2,1,1,1,0,1,1,1,1,1
16300,2,2,1,1,1,0,1,1,1,1,1
17000,2,2,1,1,1,0,1,1,1,2,1
20000,3,2,1,1,1,0,1,1,1,1,1
19500,3,2,1,1,1,0,1,1,1,1,1
21350,3,2,1,1,1,0,1,2,1,1,1
22000,3,2,1,1,1,0,1,1,1,1,1
28000,4,2,1,1,1,0,1,1,1,1,1
29400,4,2,1,1,1,0,3,1,1,1,1
35400,5,2,1,1,1,0,1,1,1,1,1
42250,6,2,1,1,1,0,1,1,1,1,1
40000,6,2,1,1,1,0,1,1,1,1,1
46000,7,2,1,1,1,0,1,1,1,1,1
45000,7,2,1,1,1,0,1,1,1,1,1
54000,8,2,1,1,1,0,1,1,1,1,1
52600,8,2,1,1,1,0,1,1,1,1,1
59000,9,2,1,1,1,0,1,1,1,1,1
60450,9,2,1,1,1,0,1,1,1,1,1
69000,10,2,1,1,1,0,1,1,1,1,1
70800,10,2,1,1,1,0,1,1,1,1,1
71500,10,2,1,1,1,0,1,1,1,1,1
12000,1,2,2,1,1,0,1,1,1,1,1
14250,1,2,2,1,2,0,2,2,1,1,1
16500,1,2,2,1,2,0,3,2,2,2,2
17800,1,2,2,1,3,0,3,2,3,2,2
13250,1,2,2,1,1,0,1,1,1,1,1
14000,1,2,2,1,1,0,1,1,1,1,1
12900,1,2,2,1,1,0,1,1,1,1,1
18000,1,2,3,1,1,0,1,1,1,1,1
19500,1,2,3,1,1,0,1,1,1,1,1
24000,1,2,4,1,1,0,1,1,1,1,1
25900,1,2,4,1,1,0,1,1,1,1,1
28000,1,2,4,2,1,0,1,1,1,1,1
33000,1,2,5,2,1,0,1,1,1,1,1
34500,1,2,5,2,1,0,1,1,1,1,1
40300,1,2,6,3,1,0,1,1,1,1,1
45000,1,2,6,3,1,0,1,1,1,2,2
50000,1,2,6,3,2,0,2,2,2,2,2
47650,1,2,7,3,1,0,1,1,1,1,1
55000,1,2,7,3,1,1,1,1,1,1,1
46270,1,2,7,3,1,0,1,1,1,1,1
55000,1,2,8,3,1,0,1,1,1,1,1
56800,1,2,8,3,1,0,1,1,1,1,1
65000,1,2,8,3,1,1,1,1,1,1,1
13500,2,2,1,1,1,0,1,1,1,1,1
26600,2,2,2,1,1,0,1,1,1,1,1
35250,2,2,3,1,1,0,1,1,1,1,1
51600,2,2,4,2,1,0,1,1,1,1,1
65400,2,2,5,2,1,0,1,1,1,1,1
75250,2,2,6,3,1,0,1,1,1,1,1
89325,2,2,7,3,1,0,1,1,1,1,1
110000,2,2,8,4,1,0,1,1,1,1,1
21250,3,2,1,1,1,0,1,1,1,1,1
39450,3,2,2,1,1,0,1,1,1,1,1
59350,3,2,3,1,1,0,1,1,1,1,1
84000,3,2,4,1,1,0,1,1,1,1,1
103780,3,2,5,2,1,0,1,1,1,1,1
126500,3,2,6,2,1,0,1,1,1,1,1
143250,3,2,7,3,1,0,1,1,1,1,1
159300,3,2,8,3,1,0,1,1,1,1,1
26250,4,2,1,1,1,0,1,1,1,1,1
50600,4,2,2,1,1,0,1,1,1,1,1
78000,4,2,3,2,1,0,1,1,1,1,1
104700,4,2,4,1,1,0,1,1,1,1,1
130900,4,2,5,2,1,0,1,1,1,1,1
156600,4,2,6,2,1,0,1,1,1,1,1
182250,4,2,7,3,1,0,1,1,1,1,1
220000,4,2,8,4,1,0,1,1,1,1,1
29000,5,2,1,1,1,0,1,1,1,1,1
57400,5,2,2,1,1,0,1,1,1,1,1
87350,5,2,3,1,1,0,1,1,1,1,1
116750,5,2,4,1,1,0,1,1,1,1,1
145000,5,2,5,1,1,0,1,1,1,1,1
174400,5,2,6,2,1,0,1,1,1,1,1
203300,5,2,7,3,1,0,1,1,1,1,1
232500,5,2,8,3,1,0,1,1,1,1,1
34300,6,2,1,1,1,0,1,1,1,1,1
68000,6,2,2,1,1,0,1,1,1,1,1
102500,6,2,3,1,1,0,1,1,1,1,1
136500,6,2,4,1,1,0,1,1,1,1,1
170000,6,2,5,2,1,0,1,1,1,1,1
200500,6,2,6,3,1,0,1,1,1,1,1
230750,6,2,7,3,1,0,1,1,1,1,1
280000,6,2,8,4,1,0,1,1,1,1,1
45000,7,2,1,1,1,0,1,1,1,1,1
87250,7,2,2,1,1,0,1,1,1,1,1
130000,7,2,3,1,1,0,1,1,1,1,1
169000,7,2,4,1,1,0,1,1,1,1,1
219500,7,2,5,1,1,0,1,1,1,1,1
260750,7,2,6,3,1,0,1,1,1,1,1
315650,7,2,7,3,1,0,1,1,1,1,1
350900,7,2,8,3,1,0,1,1,1,1,1
55250,8,2,1,1,1,0,1,1,1,1,1
105000,8,2,2,1,1,0,1,1,1,1,1
159250,8,2,3,1,1,0,1,1,1,1,1
220700,8,2,4,2,1,0,1,1,1,1,1
265000,8,2,5,2,1,0,1,1,1,1,1
320400,8,2,6,3,1,0,1,1,1,1,1
390000,8,2,7,3,1,0,1,1,1,1,1
445000,8,2,8,3,1,0,1,1,1,1,1
63000,9,2,1,1,1,0,1,1,1,1,1
120000,9,2,2,1,1,0,1,1,1,1,1
175500,9,2,3,1,1,0,1,1,1,1,1
240600,9,2,4,1,1,0,1,1,1,1,1
297000,9,2,5,1,1,0,1,1,1,1,1
365000,9,2,6,3,1,1,1,1,1,1,1
435000,9,2,7,3,1,2,1,1,1,1,1
490000,9,2,8,4,1,1,1,1,1,1,1
70500,10,2,1,1,1,0,1,1,1,1,1
137000,10,2,2,1,1,0,1,1,1,1,1
209000,10,2,3,1,1,0,1,1,1,1,1
282500,10,2,4,1,1,0,1,1,1,1,1
356000,10,2,5,2,1,0,1,1,1,1,1
440000,10,2,6,3,1,1,1,1,1,1,1
510000,10,2,7,3,1,1,1,1,1,1,1
580000,10,2,8,3,1,1,1,1,1,1,1
650000,10,2,8,3,1,1,3,3,1,2,2
77450,11,2,1,1,1,0,1,1,1,1,1
150250,11,2,2,1,1,0,1,1,1,1,1
235000,11,2,3,2,1,0,1,1,1,1,1
305000,11,2,4,1,1,0,1,1,1,1,1
400000,11,2,5,1,1,1,1,1,1,1,1
470000,11,2,6,3,1,2,1,1,1,1,1
545000,11,2,7,3,1,2,1,1,1,1,1
640000,11,2,8,4,1,1,1,1,1,1,1
84000,12,2,1,1,1,0,1,1,1,1,1
168000,12,2,2,2,1,0,1,1,1,1,1
255000,12,2,3,2,1,0,1,1,1,1,1
335900,12,2,4,2,1,0,1,1,1,1,1
430000,12,2,5,3,1,0,1,1,1,1,1
515000,12,2,6,3,1,1,1,1,1,1,1
725000,12,2,7,3,2,2,2,2,3,2,2
600000,12,2,7,3,1,1,1,1,1,1,1
820000,12,2,8,3,2,2,3,1,3,2,2
800000,12,2,8,3,2,2,2,1,3,2,2
800000,12,2,8,3,2,2,2,1,3,2,2
690000,12,2,8,3,1,1,1,1,1,1,1
38350,1,2,2,4,2,0,1,1,2,1,1
20250,1,2,1,4,2,0,1,1,2,1,1
20510,1,2,1,1,2,0,0,1,2,1,1
21300,1,2,1,4,2,0,1,1,2,1,1
21760,1,2,1,4,2,0,1,1,2,1,1
21520,1,2,1,1,2,0,0,1,2,1,1
23200,1,2,1,1,2,0,1,1,1,1,1
23700,1,2,1,1,2,0,1,1,1,1,1
22954,1,2,1,1,2,0,0,1,2,1,1
22780,1,2,1,1,2,0,0,1,2,1,1
24300,1,2,1,1,2,0,1,1,1,1,1
24971,1,2,1,1,2,0,1,1,1,1,1
25276,1,2,1,1,2,0,1,1,1,1,1
56550,1,2,2,3,1,0,2,1,3,1,1
29963,1,2,1,1,2,0,1,1,1,1,1
26740,2,2,1,1,2,0,1,1,2,1,1
28065,2,2,1,1,2,0,1,1,2,1,1
29499,2,2,1,1,2,0,1,1,2,1,1
32075,2,2,1,1,2,0,1,1,2,1,1
33050,2,2,1,1,2,0,1,1,2,1,1
34710,2,2,1,1,2,0,3,1,2,1,1
35710,2,2,1,1,2,0,1,1,2,1,1
94464,2,2,2,2,3,0,1,1,2,1,1
190205,2,2,4,3,2,1,3,1,1,1,1
170650,2,2,3,3,3,0,2,1,2,1,1
211200,2,2,4,3,2,1,3,1,1,1,1
231450,2,2,4,3,2,1,3,1,1,1,1
203400,2,3,3,2,3,0,1,1,2,1,1
22756,2,3,3,2,3,0,1,1,2,1,1
163800,2,2,3,1,1,0,1,1,2,1,1
222350,2,3,3,3,3,0,2,1,2,1,1
223542,3,1,4,1,2,0,1,1,1,1,1
491250,3,1,5,1,2,1,3,1,3,2,1
313750,3,1,4,1,2,0,2,1,3,1,1
273200,3,3,3,2,3,0,2,1,2,1,1
228137,3,3,3,2,3,0,1,1,2,1,1
259200,3,2,3,1,2,0,2,1,1,1,1
444540,3,2,4,1,2,1,3,1,3,2,1
554050,3,2,5,1,2,1,3,1,3,2,1
279000,4,3,3,2,3,0,1,1,2,1,1
252000,4,3,2,2,3,0,1,1,2,1,1
318450,4,3,3,3,3,0,1,1,2,1,1
680000,4,2,8,1,2,0,1,1,1,1,1
700000,4,2,8,4,2,0,2,1,1,1,1
720000,4,2,8,1,2,0,2,1,1,1,1
621600,4,2,6,3,2,0,2,1,1,1,1
97370,4,3,1,0,3,0,1,1,2,1,1
873600,4,2,8,3,2,0,2,1,1,1,1
820000,5,2,8,1,2,0,2,1,1,1,1
438970,5,3,3,2,3,0,2,1,2,1,1
616150,5,2,4,1,2,0,3,1,3,1,1
465900,5,2,3,3,2,0,1,1,1,1,1
327231,5,3,2,2,3,0,1,1,2,1,1
875000,5,2,7,1,2,0,2,1,1,1,1
1015000,6,2,7,1,2,0,2,1,1,1,1
562608,6,3,3,2,3,0,2,1,2,1,1
1152000,6,2,8,1,2,0,2,1,1,1,1
520806,7,3,3,2,3,0,2,1,2,1,1
1388800,7,2,8,4,2,0,2,1,1,1,1
1038000,7,2,5,1,2,1,3,1,3,1,1
644000,7,2,4,1,2,0,2,1,1,1,1
363780,8,3,2,3,3,0,1,1,2,1,1
782460,9,4,3,2,3,0,1,1,2,1,1
835395,9,4,3,2,3,0,1,1,2,1,1
901236,9,4,3,2,3,0,2,1,2,1,1
880486,9,4,3,2,3,0,2,1,2,1,1
902025,9,4,3,2,3,0,2,1,2,1,1
847535,9,4,3,2,3,0,1,1,2,1,1
907229,9,4,3,2,3,0,2,1,2,1,1
813945,9,4,3,2,3,0,2,1,2,1,1
802235,9,4,3,2,3,0,2,1,2,1,1
863193,9,4,3,2,3,0,2,1,2,1,1
901236,9,4,3,2,3,0,2,1,2,1,1
860246,9,4,3,2,3,0,1,1,2,1,1
902025,9,4,3,2,3,0,2,1,2,1,1
840971,10,4,3,2,3,0,1,1,2,1,1
977208,10,4,3,2,3,0,2,1,2,1,1
997208,10,4,3,2,3,0,2,1,2,1,1
510000,10,2,2,1,1,1,1,1,1,2,1
1012194,10,4,3,2,3,0,2,1,2,1,1
1070000,10,4,3,2,3,0,2,1,2,1,1
1020426,10,4,3,2,3,0,2,1,2,2,1
